,pruning_method,best_alpha,best_value
0,IPAD_eq,,0.8844485910192337
1,L1,0.0,0.8899874974377754
2,L2,1.0,0.887341141039265
3,random,,0.888108169363379
4,uniform,,0.8861084741635984
