,pruning_method,best_alpha,best_value
0,IPAD_eq,,0.938681580632418
1,L1,0.0,0.9417919416338114
2,L2,1.0,0.9403081634204724
3,random,,0.9407386544626052
4,uniform,,0.939615601437289
